"Date","Price","Open","High","Low","Vol.","Change %"
"09/12/2025","157.11","158.85","159.78","157.10","5.55M","-0.72%"
"09/11/2025","158.25","156.50","158.92","156.01","6.42M","0.29%"
"09/10/2025","157.79","155.05","157.92","155.00","7.44M","1.90%"
"09/09/2025","154.85","154.91","156.99","154.60","7.77M","0.55%"
"09/08/2025","154.00","153.91","155.03","152.88","9.46M","0.22%"
"09/05/2025","153.66","156.06","156.72","153.49","11.01M","-2.56%"
"09/04/2025","157.69","158.06","159.65","157.50","7.24M","-0.23%"
"09/03/2025","158.06","160.00","161.85","157.02","9.56M","-2.33%"
"09/02/2025","161.83","160.48","161.86","159.38","8.95M","0.77%"
"08/29/2025","160.60","159.70","161.10","159.45","6.93M","0.80%"
"08/28/2025","159.32","159.01","159.52","157.85","6.50M","0.05%"
"08/27/2025","159.24","157.40","159.99","157.21","7.48M","1.19%"
"08/26/2025","157.36","157.51","160.00","156.55","10.27M","-0.53%"
"08/25/2025","158.20","157.90","158.32","157.17","7.03M","0.01%"
"08/22/2025","158.18","155.32","158.79","155.32","9.08M","1.69%"
"08/21/2025","155.55","152.82","155.67","152.73","7.53M","1.52%"
"08/20/2025","153.22","152.42","153.49","151.93","8.08M","0.80%"
"08/19/2025","152.00","153.46","153.94","151.85","8.57M","-2.14%"
"08/18/2025","155.32","156.13","156.49","154.75","8.17M","-0.79%"
"08/15/2025","156.55","155.48","158.54","155.29","11.62M","0.90%"
"08/14/2025","155.16","155.70","155.70","154.10","7.34M","-0.46%"
"08/13/2025","155.87","154.57","156.01","154.20","6.58M","0.93%"
"08/12/2025","154.44","154.09","156.05","153.36","6.65M","0.65%"
"08/11/2025","153.45","155.34","155.93","152.99","6.17M","-1.01%"
"08/08/2025","155.01","153.99","155.75","153.50","6.33M","1.21%"
"08/07/2025","153.16","153.79","155.15","152.83","6.51M","0.25%"
"08/06/2025","152.78","154.48","155.16","152.22","7.84M","-0.17%"
"08/05/2025","153.04","151.03","153.10","149.90","8.60M","1.32%"
"08/04/2025","151.04","151.25","152.08","149.82","10.12M","-0.24%"
"08/01/2025","151.40","152.54","154.65","150.35","10.71M","-0.16%"
"07/31/2025","151.64","152.00","153.93","151.14","10.24M","-1.25%"
"07/30/2025","153.56","156.14","156.31","152.70","9.19M","-2.21%"
"07/29/2025","157.03","156.68","157.21","155.45","6.45M","0.48%"
"07/28/2025","156.28","155.40","156.55","154.95","8.76M","0.93%"
"07/25/2025","154.84","155.83","156.20","153.96","7.88M","-0.64%"
"07/24/2025","155.83","152.68","155.99","152.20","15.70M","1.77%"
"07/23/2025","153.12","150.90","153.14","150.46","13.16M","2.05%"
"07/22/2025","150.04","149.26","150.94","148.48","26.20M","0.24%"
"07/21/2025","149.68","151.20","151.67","149.13","17.98M","-0.24%"
"07/18/2025","150.04","155.02","155.91","146.53","45.78M","-0.89%"
"07/17/2025","151.38","149.16","151.84","148.60","8.36M","0.97%"
"07/16/2025","149.92","150.76","151.48","149.22","7.92M","-0.51%"
"07/15/2025","150.69","151.60","152.31","150.25","7.35M","-0.63%"
"07/14/2025","151.65","154.90","154.90","151.14","10.71M","-2.36%"
"07/11/2025","155.31","154.29","155.89","153.57","8.33M","0.74%"
"07/10/2025","154.17","152.79","155.28","151.68","8.40M","0.75%"
"07/09/2025","153.02","152.94","153.96","152.48","9.50M","-0.14%"
"07/08/2025","153.24","147.32","153.24","147.26","14.08M","3.96%"
"07/07/2025","147.40","147.40","148.17","145.58","9.46M","-0.65%"
"07/03/2025","148.37","147.84","148.98","147.36","5.17M","0.26%"
"07/02/2025","147.98","147.01","148.01","145.47","8.23M","1.66%"
"07/01/2025","145.57","143.34","146.27","142.51","8.51M","1.66%"
"06/30/2025","143.19","143.04","144.10","142.40","6.98M","-0.42%"
"06/27/2025","143.79","144.55","144.66","142.57","9.21M","-0.45%"
"06/26/2025","144.44","143.70","145.08","143.40","7.42M","0.84%"
"06/25/2025","143.23","143.41","144.20","142.51","7.39M","-0.22%"
"06/24/2025","143.55","144.54","146.39","143.16","10.78M","-2.25%"
"06/23/2025","146.86","152.12","152.15","146.32","10.54M","-1.80%"
"06/20/2025","149.55","148.52","149.90","147.90","23.71M","0.92%"
"06/18/2025","148.19","149.44","150.17","147.70","9.84M","-0.44%"
"06/17/2025","148.85","147.33","149.98","146.50","11.33M","1.93%"
"06/16/2025","146.03","145.73","146.87","143.74","10.11M","0.08%"
"06/13/2025","145.91","147.08","147.60","144.54","14.15M","0.65%"
"06/12/2025","144.97","144.50","145.20","143.43","7.00M","0.13%"
"06/11/2025","144.78","144.19","145.12","142.61","9.26M","1.00%"
"06/10/2025","143.35","142.22","144.94","141.91","9.84M","1.84%"
"06/09/2025","140.76","140.55","142.14","139.68","7.16M","0.39%"
"06/06/2025","140.21","138.09","140.61","138.09","6.56M","2.42%"
"06/05/2025","136.90","138.15","138.29","136.70","6.35M","-0.34%"
"06/04/2025","137.37","139.42","140.63","137.33","8.74M","-1.56%"
"06/03/2025","139.55","137.65","140.59","136.60","9.00M","1.24%"
"06/02/2025","137.84","138.49","138.69","136.43","9.08M","0.83%"
"05/30/2025","136.70","136.88","137.45","135.21","12.86M","-0.88%"
"05/29/2025","137.91","136.50","137.94","136.10","7.56M","1.39%"
"05/28/2025","136.02","138.78","138.79","135.66","6.88M","-1.31%"
"05/27/2025","137.83","137.38","137.97","136.41","8.35M","0.94%"
"05/23/2025","136.54","134.39","136.79","134.06","7.03M","0.92%"
"05/22/2025","135.29","134.99","135.99","133.77","8.88M","-0.20%"
"05/21/2025","135.56","136.62","137.13","135.49","9.07M","-1.25%"
"05/20/2025","137.27","138.29","138.75","137.03","6.50M","-0.88%"
"05/19/2025","138.49","139.47","139.52","137.12","7.71M","-2.54%"
"05/16/2025","142.10","142.70","143.00","140.70","8.20M","-0.11%"
"05/15/2025","142.26","140.00","142.46","139.51","7.55M","0.42%"
"05/14/2025","141.67","141.76","142.23","140.73","6.45M","-0.48%"
"05/13/2025","142.35","141.53","143.23","140.92","8.54M","0.52%"
"05/12/2025","141.62","142.45","143.71","140.57","8.03M","2.26%"
"05/09/2025","138.49","138.90","139.37","137.70","5.97M","1.06%"
"05/08/2025","137.04","136.68","138.89","136.47","8.67M","0.92%"
"05/07/2025","135.79","136.07","136.30","134.62","8.42M","0.14%"
"05/06/2025","135.60","136.35","137.31","135.04","9.92M","0.07%"
"05/05/2025","135.50","136.77","137.00","135.18","9.66M","-2.17%"
"05/02/2025","138.50","137.88","139.78","135.29","12.39M","1.64%"
"05/01/2025","136.26","135.42","137.95","135.12","10.20M","0.15%"
"04/30/2025","136.06","138.00","138.15","134.14","13.86M","-2.33%"
"04/29/2025","139.30","138.69","140.01","138.57","7.34M","-0.57%"
"04/28/2025","140.10","138.97","140.46","138.68","6.72M","0.99%"
"04/25/2025","138.73","138.33","139.05","137.25","6.88M","-0.24%"
"04/24/2025","139.07","137.92","139.40","137.22","7.75M","1.75%"
"04/23/2025","136.68","137.21","138.55","135.15","10.00M","-0.45%"
"04/22/2025","137.30","135.26","138.24","134.94","7.98M","2.67%"
"04/21/2025","133.73","136.02","136.29","132.33","9.97M","-3.00%"
"04/17/2025","137.87","136.69","140.24","136.45","8.43M","1.85%"
"04/16/2025","135.36","135.40","137.55","134.80","8.64M","0.61%"
"04/15/2025","134.54","134.32","136.63","134.25","9.33M","-0.58%"
"04/14/2025","135.32","138.48","138.54","134.10","9.63M","-0.23%"
"04/11/2025","135.63","135.01","137.12","132.04","17.22M","0.48%"
"04/10/2025","134.98","143.22","143.63","133.45","20.99M","-7.57%"
"04/09/2025","146.03","135.02","147.47","133.88","16.85M","6.65%"
"04/08/2025","136.93","144.15","144.49","134.87","12.90M","-2.30%"
"04/07/2025","140.15","138.73","146.19","137.29","17.82M","-2.18%"
"04/04/2025","143.28","151.76","152.46","142.75","20.37M","-8.22%"
"04/03/2025","156.12","160.12","161.35","155.80","15.50M","-6.22%"
"04/02/2025","166.47","167.40","167.98","165.85","7.04M","-1.21%"
"04/01/2025","168.51","167.29","168.60","166.16","6.38M","0.73%"
"03/31/2025","167.29","166.19","168.92","166.13","10.68M","0.72%"
"03/28/2025","166.09","166.70","167.13","165.29","4.92M","-0.34%"
"03/27/2025","166.65","167.25","168.22","165.85","6.86M","-0.79%"
"03/26/2025","167.97","167.37","168.96","167.25","10.08M","1.22%"
"03/25/2025","165.94","166.08","167.82","165.11","7.87M","0.56%"
"03/24/2025","165.02","164.69","166.43","164.32","8.07M","0.16%"
"03/21/2025","164.75","164.49","164.88","163.11","21.63M","-0.01%"
"03/20/2025","164.77","163.13","165.31","162.41","9.55M","0.44%"
"03/19/2025","164.05","160.96","164.54","160.90","11.50M","2.01%"
"03/18/2025","160.81","159.74","161.09","158.82","9.29M","1.32%"
"03/17/2025","158.72","157.22","159.45","156.76","7.62M","1.08%"
"03/14/2025","157.02","153.99","157.24","153.01","6.67M","2.22%"
"03/13/2025","153.61","152.26","154.43","151.92","9.02M","0.62%"
"03/12/2025","152.67","153.64","154.79","152.21","9.71M","-0.92%"
"03/11/2025","154.08","158.43","158.84","153.79","10.47M","-2.21%"
"03/10/2025","157.57","157.19","160.37","156.17","11.75M","0.79%"
"03/07/2025","156.34","153.95","157.45","153.71","8.56M","2.22%"
"03/06/2025","152.95","150.51","153.33","149.47","7.31M","1.42%"
"03/05/2025","150.81","150.15","151.37","147.74","9.29M","-0.78%"
"03/04/2025","152.00","151.21","154.15","150.05","8.83M","-0.71%"
"03/03/2025","153.09","159.46","160.09","151.76","9.06M","-3.49%"
"02/28/2025","158.62","156.70","158.67","154.92","8.83M","1.24%"
"02/27/2025","156.67","155.69","158.29","154.81","7.52M","0.99%"
"02/26/2025","155.14","156.62","156.69","154.40","6.01M","-0.82%"
"02/25/2025","156.42","157.99","158.99","155.46","6.81M","-0.93%"
"02/24/2025","157.89","157.09","158.33","156.75","5.93M","0.62%"
"02/21/2025","156.92","158.13","158.95","156.82","6.69M","-1.18%"
"02/20/2025","158.79","157.50","158.95","157.07","6.26M","0.99%"
"02/19/2025","157.23","156.52","158.36","156.00","4.95M","0.69%"
"02/18/2025","156.16","155.34","157.31","154.78","5.98M","0.53%"
"02/14/2025","155.34","155.08","157.45","154.88","5.83M","-0.35%"
"02/13/2025","155.88","154.78","156.42","153.32","7.84M","0.63%"
"02/12/2025","154.90","156.75","157.46","154.57","6.69M","-1.61%"
"02/11/2025","157.44","156.35","158.71","156.12","6.01M","1.07%"
"02/10/2025","155.77","154.29","155.80","154.06","5.65M","2.06%"
"02/07/2025","152.62","152.48","153.81","151.92","4.72M","0.47%"
"02/06/2025","151.90","154.22","155.26","151.06","6.42M","-0.71%"
"02/05/2025","152.99","152.99","153.80","152.29","6.53M","-0.15%"
"02/04/2025","153.22","148.72","153.38","148.72","8.46M","2.60%"
"02/03/2025","149.34","149.00","150.86","147.80","7.60M","0.10%"
"01/31/2025","149.19","153.76","154.37","148.65","16.73M","-4.56%"
"01/30/2025","156.32","156.56","157.45","155.52","6.93M","0.40%"
"01/29/2025","155.69","155.71","156.58","154.81","5.63M","-0.33%"
"01/28/2025","156.21","157.71","158.92","155.18","6.43M","-0.65%"
"01/27/2025","157.23","156.33","157.89","155.52","7.14M","1.02%"
"01/24/2025","155.65","156.46","157.47","155.27","8.00M","-0.23%"
"01/23/2025","156.01","157.63","157.94","155.62","5.98M","-0.26%"
"01/22/2025","156.41","157.68","158.44","156.27","7.23M","-1.16%"
"01/21/2025","158.24","161.15","161.40","157.49","10.13M","-2.00%"
"01/17/2025","161.47","159.13","161.77","158.80","9.26M","1.31%"
"01/16/2025","159.38","158.03","159.90","158.03","5.58M","0.66%"
"01/15/2025","158.33","156.88","158.69","156.38","7.90M","0.91%"
"01/14/2025","156.90","155.21","156.91","154.46","6.83M","1.00%"
"01/13/2025","155.35","154.10","157.35","154.00","11.77M","1.44%"
"01/10/2025","153.14","153.41","154.34","150.87","11.07M","1.89%"
"01/08/2025","150.30","148.04","151.18","148.03","7.64M","0.47%"
"01/07/2025","149.59","148.51","150.50","147.63","7.74M","1.58%"
"01/06/2025","147.26","148.40","150.33","146.87","5.89M","-0.40%"
"01/03/2025","147.85","147.54","148.50","147.30","5.81M","0.78%"
"01/02/2025","146.71","145.48","148.07","145.48","7.17M","1.29%"
"12/31/2024","144.84","143.52","145.34","143.32","6.14M","1.24%"
"12/30/2024","143.07","143.79","143.98","142.35","6.19M","-0.65%"
"12/27/2024","144.00","144.29","145.71","143.39","5.30M","0.01%"
"12/26/2024","143.98","143.67","144.31","142.90","4.49M","0.10%"
"12/24/2024","143.84","143.10","144.04","142.26","3.56M","0.61%"
"12/23/2024","142.97","142.48","143.35","141.54","8.16M","0.08%"
"12/20/2024","142.85","140.82","142.85","140.55","32.21M","1.20%"
"12/19/2024","141.15","144.57","144.76","140.95","16.54M","-2.03%"
"12/18/2024","144.08","147.76","148.67","143.98","10.17M","-2.72%"
"12/17/2024","148.11","148.00","148.65","146.91","11.91M","-0.84%"
"12/16/2024","149.36","153.89","153.89","149.25","11.96M","-2.93%"
"12/13/2024","153.87","154.87","154.96","153.07","5.82M","-0.54%"
"12/12/2024","154.71","155.87","156.52","154.27","7.62M","-0.96%"
"12/11/2024","156.21","156.86","157.17","155.80","13.76M","-0.50%"
"12/10/2024","157.00","159.06","159.52","156.70","9.13M","-0.05%"
"12/09/2024","157.08","157.00","160.08","156.82","9.40M","1.19%"
"12/06/2024","155.24","158.75","158.83","155.17","9.70M","-2.57%"
"12/05/2024","159.33","159.29","160.67","158.69","6.36M","0.64%"
"12/04/2024","158.32","161.83","161.84","157.86","7.86M","-2.22%"
"12/03/2024","161.92","162.98","163.20","161.39","5.90M","-0.18%"
"12/02/2024","162.21","162.29","162.95","160.11","6.23M","0.17%"
"11/29/2024","161.93","162.25","162.75","160.66","5.08M","-0.11%"
"11/27/2024","162.11","162.76","164.68","161.61","7.67M","-0.26%"
"11/26/2024","162.53","162.31","162.94","161.40","7.37M","1.35%"
"11/25/2024","160.36","162.15","163.17","159.83","10.70M","-1.23%"
"11/22/2024","162.36","161.51","162.61","161.15","7.01M","0.45%"
"11/21/2024","161.63","162.02","162.65","161.29","7.95M","0.19%"
"11/20/2024","161.33","159.91","161.44","159.78","6.39M","1.08%"
"11/19/2024","159.60","159.98","160.43","158.75","4.66M","-0.72%"
"11/18/2024","160.76","160.56","161.52","159.07","6.09M","-0.41%"
"11/15/2024","161.42","161.52","162.38","160.76","9.02M","-0.23%"
"11/14/2024","161.80","159.84","161.83","159.68","10.11M","1.94%"
"11/13/2024","158.72","156.07","159.02","154.53","8.82M","2.21%"
"11/12/2024","155.29","157.30","157.47","155.12","5.68M","-0.77%"
"11/11/2024","156.50","157.14","157.94","155.90","7.77M","-0.27%"
"11/08/2024","156.93","156.60","157.58","155.67","6.04M","0.10%"
"11/07/2024","156.77","157.94","158.01","156.40","8.14M","-0.60%"
"11/06/2024","157.72","157.10","158.61","156.12","12.12M","2.81%"
"11/05/2024","153.41","154.53","154.67","152.55","5.98M","-0.36%"
"11/04/2024","153.97","154.42","154.42","152.62","6.13M","0.59%"
"11/01/2024","153.07","152.48","155.93","151.70","11.73M","2.86%"
"10/31/2024","148.82","148.76","149.57","147.89","8.40M","0.52%"
"10/30/2024","148.05","149.08","149.65","147.66","5.78M","-0.32%"
"10/29/2024","148.52","150.04","150.41","147.87","6.01M","-1.34%"
"10/28/2024","150.54","148.25","150.70","148.16","8.89M","-0.18%"
"10/25/2024","150.81","151.39","152.12","150.46","6.84M","0.24%"
"10/24/2024","150.45","151.13","151.45","149.38","5.47M","-0.02%"
"10/23/2024","150.48","150.36","151.00","149.29","5.25M","-0.29%"
"10/22/2024","150.92","151.25","151.68","150.22","4.42M","0.03%"
"10/21/2024","150.88","152.00","152.48","150.49","5.07M","0.09%"
"10/18/2024","150.75","150.82","151.08","149.38","5.21M","-0.30%"
"10/17/2024","151.20","149.26","151.33","148.97","6.59M","1.66%"
"10/16/2024","148.73","148.35","149.03","148.21","4.30M","0.68%"
"10/15/2024","147.73","148.80","149.96","147.56","6.70M","-2.67%"
"10/14/2024","151.78","150.52","151.90","150.18","4.21M","0.24%"
"10/11/2024","151.42","150.38","152.33","150.25","5.05M","0.53%"
"10/10/2024","150.62","150.68","151.55","149.85","4.42M","0.65%"
"10/09/2024","149.65","147.51","150.37","147.36","4.97M","0.61%"
"10/08/2024","148.75","149.20","149.60","147.73","5.89M","-1.57%"
"10/07/2024","151.12","151.50","152.75","150.69","5.90M","0.25%"
"10/04/2024","150.74","152.48","152.50","150.13","7.90M","-0.34%"
"10/03/2024","151.25","151.31","152.17","150.02","6.55M","0.20%"
"10/02/2024","150.95","151.68","152.28","149.26","8.11M","0.84%"
"10/01/2024","149.70","146.35","150.52","145.45","9.49M","1.65%"
"09/30/2024","147.27","145.37","147.48","144.28","7.49M","1.22%"
"09/27/2024","145.49","142.98","145.77","142.84","8.05M","2.46%"
"09/26/2024","141.99","140.90","143.22","140.63","8.05M","-1.38%"
"09/25/2024","143.97","146.95","147.41","143.50","7.89M","-2.36%"
"09/24/2024","147.45","148.88","149.10","146.91","6.01M","-0.06%"
"09/23/2024","147.54","146.25","148.41","145.95","6.96M","1.28%"
"09/20/2024","145.68","145.23","145.91","143.44","23.16M","0.48%"
"09/19/2024","144.99","145.81","146.78","144.93","7.25M","0.72%"
"09/18/2024","143.96","143.32","145.60","143.19","6.18M","0.38%"
"09/17/2024","143.41","141.80","144.14","141.74","7.34M","0.93%"
"09/16/2024","142.09","141.69","143.16","141.07","6.86M","1.05%"
"09/13/2024","140.61","139.87","141.53","139.71","5.90M","1.01%"
"09/12/2024","139.21","138.23","139.47","137.42","6.59M","0.96%"
"09/11/2024","137.88","138.21","138.48","135.37","9.53M","-0.25%"
"09/10/2024","138.23","140.90","141.08","137.09","8.20M","-1.48%"
"09/09/2024","140.30","138.63","142.02","138.54","9.89M","1.26%"
"09/06/2024","138.56","141.07","142.11","137.87","7.84M","-1.68%"
"09/05/2024","140.93","143.17","143.17","140.60","9.37M","-0.80%"
"09/04/2024","142.07","144.64","145.53","141.67","9.82M","-1.79%"
"09/03/2024","144.66","145.55","145.77","144.28","7.94M","-2.22%"
"08/30/2024","147.95","146.22","148.08","145.70","6.41M","0.36%"
"08/29/2024","147.42","146.46","148.18","145.44","4.47M","0.97%"
"08/28/2024","146.00","146.44","147.14","145.48","5.61M","-0.65%"
